image	status	visual_review	scope_and_limits
api26/tracks.draft-recovery.read.large.png	Verified	actual 200% text: Compact 320 dp window: wrapped message remains complete and fixed actions are legible. Unavailable-draft copy truthfully preserves saved-history guarantees; Retry and Close fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api26/tracks.draft-recovery.read.ordinary.png	Verified	ordinary text: Compact 320 dp window: wrapped message remains complete and fixed actions are legible. Unavailable-draft copy truthfully preserves saved-history guarantees; Retry and Close fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api26/tracks.draft-recovery.write.large.png	Verified	actual 200% text: Compact 320 dp window: wrapped message remains complete and fixed actions are legible. Live-draft copy distinguishes the unavailable recovery copy; Retry and Keep Editing fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api26/tracks.draft-recovery.write.ordinary.png	Verified	ordinary text: Compact 320 dp window: wrapped message remains complete and fixed actions are legible. Live-draft copy distinguishes the unavailable recovery copy; Retry and Keep Editing fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api34/tracks.draft-recovery.read.large.png	Verified	actual 200% text: Phone window: title, message and actions have clear hierarchy with no clipping. Unavailable-draft copy truthfully preserves saved-history guarantees; Retry and Close fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api34/tracks.draft-recovery.read.ordinary.png	Verified	ordinary text: Phone window: title, message and actions have clear hierarchy with no clipping. Unavailable-draft copy truthfully preserves saved-history guarantees; Retry and Close fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api34/tracks.draft-recovery.write.large.png	Verified	actual 200% text: Phone window: title, message and actions have clear hierarchy with no clipping. Live-draft copy distinguishes the unavailable recovery copy; Retry and Keep Editing fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api34/tracks.draft-recovery.write.ordinary.png	Verified	ordinary text: Phone window: title, message and actions have clear hierarchy with no clipping. Live-draft copy distinguishes the unavailable recovery copy; Retry and Keep Editing fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api37/tracks.draft-recovery.read.large.png	Verified	actual 200% text: Wide window: bounded centered dialog and readable line lengths; full message and actions fit. Unavailable-draft copy truthfully preserves saved-history guarantees; Retry and Close fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api37/tracks.draft-recovery.read.ordinary.png	Verified	ordinary text: Wide window: bounded centered dialog and readable line lengths; full message and actions fit. Unavailable-draft copy truthfully preserves saved-history guarantees; Retry and Close fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api37/tracks.draft-recovery.write.large.png	Verified	actual 200% text: Wide window: bounded centered dialog and readable line lengths; full message and actions fit. Live-draft copy distinguishes the unavailable recovery copy; Retry and Keep Editing fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
api37/tracks.draft-recovery.write.ordinary.png	Verified	ordinary text: Wide window: bounded centered dialog and readable line lengths; full message and actions fit. Live-draft copy distinguishes the unavailable recovery copy; Retry and Keep Editing fit.	Individual original inspected; isolated recovery fixture does not establish full-app chrome or screen-reader acceptance.
development-dialogs/api26/tracks.draft-recovery.read.large.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance. Enlarged old read-failure text nearly fills the compact dialog but remains complete.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api26/tracks.draft-recovery.read.ordinary.png	Rejected	Captured during a window fade: ghosted/unfinished content is unsuitable for visual acceptance. Replaced by the settled final API 26 original.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api26/tracks.draft-recovery.write.large.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api26/tracks.draft-recovery.write.ordinary.png	Rejected	Captured during a window fade: ghosted/unfinished content is unsuitable for visual acceptance. Replaced by the settled final API 26 original.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api34/tracks.draft-recovery.read.large.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api34/tracks.draft-recovery.read.ordinary.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api34/tracks.draft-recovery.write.large.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api34/tracks.draft-recovery.write.ordinary.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api37/tracks.draft-recovery.read.large.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api37/tracks.draft-recovery.read.ordinary.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api37/tracks.draft-recovery.write.large.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
development-dialogs/api37/tracks.draft-recovery.write.ordinary.png	Superseded	Intermediate title, message and actions are readable. Final recovery wording is shorter and is reviewed separately; this frame does not establish final-copy acceptance.	Retained development original; use api26/api34/api37 final replacements for final visual acceptance.
process-api34/before.png	Verified	Real Entry edit shows unsaved Name “River trail final-recovery”, note viewport and Date, with complete fixed Edit Entry header and Save action.	Final real-app process journey. Off-screen note suffix and stable Entry identity are established by proof.json, not pixels.
process-api34/recovered.png	Verified	After verified process replacement, the same authored Name, note viewport and Date return with complete header/actions. Input focus is not claimed to persist.	Final real-app process journey. Off-screen note suffix and stable Entry identity are established by proof.json, not pixels.
process-api34/saved.png	Verified	Saved history shows one Entry with changed Name and date; Edit/options and full navigation remain clear.	Final real-app process journey. Off-screen note suffix and stable Entry identity are established by proof.json, not pixels.
process-api37-development/process-wide-before.png	Verified	Focused unsaved Name “River trail recovered”, note viewport and Date are clear beneath the complete wide editor header.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
process-api37-development/process-wide-corrupt-closed.png	Verified	Closing unavailable recovery returns the saved “River trail recovered” history without the unsaved write-retry suffix; wide workspace remains clear.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
process-api37-development/process-wide-corrupt.png	Rejected	Generic failure text wrongly says “Your changes are still here” despite unavailable draft recovery. This contradiction prompted the final recovery-specific message.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
process-api37-development/process-wide-return2.png	Verified	New-process retained Activity restores the same unsaved Name, note viewport and Date; field is no longer focused.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
process-api37-development/process-wide-saved.png	Verified	One saved Entry carries the changed Name and date; wide workspace and sidebars remain clear.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
process-api37-development/process-wide-write-problem.png	Superseded	Generic Save Didn’t Finish panel repeats recovery claims and adds avoidable error framing. The live draft is available here; the final dedicated recovery notice replaces this presentation.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
process-api37-development/process-wide-write-retried.png	Verified	Retry preserves live Name “River trail recovered write-retry”; Name and note are visible above the keyboard. Date extends partly below the viewport, so complete Date visibility with the keyboard is not claimed.	Earlier development production path; predates final generation cleanup. Exact stored-table equality and process details are in adjacent proof files.
