image	status	observation
before-phone/settings.data-controls.invalid-return.png	Confirmed baseline	Confirmed defect: checksum rejection is fully visible but green Settings Updated falsely implies success.
unlock-before-phone/settings.data-controls.unlock-failure.png	Confirmed baseline	Confirmed defect: failure is behind the unlock modal; blank focused input and keyboard show no dialog-owned reason.
final-phone/settings.data-controls.corrected-preview.png	Verified	Accepted scope: quiet native preview, complete record summary and distinct Merge/Replace consequences with Cancel. Dark corrected-file / light decrypted-file themes; exact persistence checked by journey.
final-phone/settings.data-controls.invalid-return.png	Verified	Accepted scope: red Action Not Completed, complete checksum reason and Dismiss; page/back/navigation readable. Wide lower cleanup is outside this frame scope.
final-phone/settings.data-controls.unlock-failure.png	Verified	Accepted scope: complete failure title/reason inside unlock dialog, available Cancel and retry field, no duplicate page banner. Final frame has keyboard closed; no new keyboard-specific acceptance claimed.
final-phone/settings.data-controls.unlocked-preview.png	Verified	Accepted scope: quiet native preview, complete record summary and distinct Merge/Replace consequences with Cancel. Dark corrected-file / light decrypted-file themes; exact persistence checked by journey.
final-phone/settings.restore.failure-retry.png	Verified	Accepted component scope: error inside replacement confirmation, complete review and Cancel/Replace controls. Gray component host; callback simulation is not native rollback proof.
final-wide/settings.data-controls.corrected-preview.png	Verified	Accepted scope: quiet native preview, complete record summary and distinct Merge/Replace consequences with Cancel. Dark corrected-file / light decrypted-file themes; exact persistence checked by journey.
final-wide/settings.data-controls.invalid-return.png	Verified	Accepted scope: red Action Not Completed, complete checksum reason and Dismiss; page/back/navigation readable. Wide lower cleanup is outside this frame scope.
final-wide/settings.data-controls.unlock-failure.png	Verified	Accepted scope: complete failure title/reason inside unlock dialog, available Cancel and retry field, no duplicate page banner. Final frame has keyboard closed; no new keyboard-specific acceptance claimed.
final-wide/settings.data-controls.unlocked-preview.png	Verified	Accepted scope: quiet native preview, complete record summary and distinct Merge/Replace consequences with Cancel. Dark corrected-file / light decrypted-file themes; exact persistence checked by journey.
final-wide/settings.restore.failure-retry.png	Verified	Accepted component scope: error inside replacement confirmation, complete review and Cancel/Replace controls. Gray component host; callback simulation is not native rollback proof.
