file	phase	observation
api26/tracks.collection.area-scope.ordinary.png	Final	The Main Area has zero selected Tracks and a readable count/scope explanation. Empty actions are disabled; the small enlarged body scrolls, so actions and rows need not share this frame.
api26/tracks.collection.area-scope.large.png	Final	The Main Area has zero selected Tracks and a readable count/scope explanation. Empty actions are disabled; the small enlarged body scrolls, so actions and rows need not share this frame.
api26/tracks.collection.visible-selection.ordinary.png	Final	Outdoors retains one selected Track with the correct Unpin action. At the smallest 200% viewport this summary frame does not show the whole action; the separate unpin frame covers it.
api26/tracks.collection.visible-selection.large.png	Final	Outdoors retains one selected Track with the correct Unpin action. At the smallest 200% viewport this summary frame does not show the whole action; the separate unpin frame covers it.
api26/tracks.collection.archive-scope.ordinary.png	Final	Returning to active Tracks has zero selection and disabled bulk actions. The full count is shown after scrolling; earlier header and later rows may be outside the viewport.
api26/tracks.collection.archive-scope.large.png	Final	Returning to active Tracks has zero selection and disabled bulk actions. The full count is shown after scrolling; earlier header and later rows may be outside the viewport.
api26/tracks.collection.restore.ordinary.png	Final	Restore is readable and reachable for the selected archived Track. On small enlarged layouts the summary is above the viewport; native recreation and exact history assertions supplement the frame.
api26/tracks.collection.restore.large.png	Final	Restore is readable and reachable for the selected archived Track. On small enlarged layouts the summary is above the viewport; native recreation and exact history assertions supplement the frame.
api26/tracks.collection.unpin.ordinary.png	Final	The fully scrolled Unpin from Whip Home label is readable; multiline text stays inside the button. The selected count may be above the viewport at 200%.
api26/tracks.collection.unpin.large.png	Final	The fully scrolled Unpin from Whip Home label is readable; multiline text stays inside the button. The selected count may be above the viewport at 200%.
api34/tracks.collection.area-scope.ordinary.png	Final	The Main Area has zero selected Tracks and a readable count/scope explanation. Empty actions are disabled; the small enlarged body scrolls, so actions and rows need not share this frame.
api34/tracks.collection.area-scope.large.png	Final	The Main Area has zero selected Tracks and a readable count/scope explanation. Empty actions are disabled; the small enlarged body scrolls, so actions and rows need not share this frame.
api34/tracks.collection.visible-selection.ordinary.png	Final	Outdoors retains one selected Track with the correct Unpin action. At the smallest 200% viewport this summary frame does not show the whole action; the separate unpin frame covers it.
api34/tracks.collection.visible-selection.large.png	Final	Outdoors retains one selected Track with the correct Unpin action. At the smallest 200% viewport this summary frame does not show the whole action; the separate unpin frame covers it.
api34/tracks.collection.archive-scope.ordinary.png	Final	Returning to active Tracks has zero selection and disabled bulk actions. The full count is shown after scrolling; earlier header and later rows may be outside the viewport.
api34/tracks.collection.archive-scope.large.png	Final	Returning to active Tracks has zero selection and disabled bulk actions. The full count is shown after scrolling; earlier header and later rows may be outside the viewport.
api34/tracks.collection.restore.ordinary.png	Final	Restore is readable and reachable for the selected archived Track. On small enlarged layouts the summary is above the viewport; native recreation and exact history assertions supplement the frame.
api34/tracks.collection.restore.large.png	Final	Restore is readable and reachable for the selected archived Track. On small enlarged layouts the summary is above the viewport; native recreation and exact history assertions supplement the frame.
api34/tracks.collection.unpin.ordinary.png	Final	The fully scrolled Unpin from Whip Home label is readable; multiline text stays inside the button. The selected count may be above the viewport at 200%.
