file	review	observations
before/gym.routine-authoring.workout.png	Personally reviewed	The chosen Lower routine day opens with Goblet Squat as the next Set. Visible routine/day identity and action labels are preserved. This is launch evidence, not complete workout-history acceptance.
before/gym.routine-authoring.saved-in-place.png	Personally reviewed	Save visibly confirms Lower while retaining Goblet Squat editing; Save becomes unavailable until a further edit. The specialized placement hierarchy follow-up remains FND-20260910-026.
before/gym.routine-authoring.lower.png	Personally reviewed	Selected Lower is preserved; notes precede the day and Add follows its placement. FND-20260910-025.
before/gym.routine-authoring.recovered-placement.png	Personally reviewed	Recreation retains Goblet Squat and its exact cue. Back/Save remain clear. The separate placement hierarchy still prioritizes conversion/bulk tools before Set inputs: FND-20260910-026 remains open.
before/gym.routine-authoring.upper.png	Personally reviewed	Optional notes precede day controls; Add follows both placements. FND-20260910-025.
before/gym.routine-authoring.new.png	Personally reviewed	Initial ordinary outline gives notes and the large program introduction priority; Add sits near the bottom. FND-20260910-025.
phone/gym.routine-authoring.workout.png	Personally reviewed	The chosen Lower routine day opens with Goblet Squat as the next Set. Visible routine/day identity and action labels are preserved. This is launch evidence, not complete workout-history acceptance.
phone/gym.routine-authoring.saved-in-place.png	Personally reviewed	Save visibly confirms Lower while retaining Goblet Squat editing; Save becomes unavailable until a further edit. The specialized placement hierarchy follow-up remains FND-20260910-026.
phone/gym.routine-authoring.routine-notes.png	Personally reviewed	Expanded notes preserve the complete authored cue after recreation and remain editable; the selected Lower day is unchanged.
phone/gym.routine-authoring.lower.png	Personally reviewed	Lower remains selected with the intended single exercise, reachable Edit and Add, and optional notes. No context loss after placement Back.
phone/gym.routine-authoring.recovered-placement.png	Personally reviewed	Recreation retains Goblet Squat and its exact cue. Back/Save remain clear. The separate placement hierarchy still prioritizes conversion/bulk tools before Set inputs: FND-20260910-026 remains open.
phone/gym.routine-authoring.upper.png	Personally reviewed	Upper remains selected with two ordered exercises. Add precedes records; notes and import are secondary. Existing placement record composition is retained.
phone/gym.routine-authoring.new.png	Personally reviewed	Setup uses the shared navigation role; Add Exercises follows the selected day, 764 pixels higher on the ordinary phone. Notes are optional and collapsed. Wide reading measure remains a shared-shell follow-up.
wide/gym.routine-authoring.workout.png	Personally reviewed	The chosen Lower routine day opens with Goblet Squat as the next Set. Visible routine/day identity and action labels are preserved. This is launch evidence, not complete workout-history acceptance.
wide/gym.routine-authoring.saved-in-place.png	Personally reviewed	Save visibly confirms Lower while retaining Goblet Squat editing; Save becomes unavailable until a further edit. The specialized placement hierarchy follow-up remains FND-20260910-026.
wide/gym.routine-authoring.routine-notes.png	Personally reviewed	Expanded notes preserve the complete authored cue after recreation and remain editable; the selected Lower day is unchanged.
wide/gym.routine-authoring.lower.png	Personally reviewed	Lower remains selected with the intended single exercise, reachable Edit and Add, and optional notes. No context loss after placement Back.
wide/gym.routine-authoring.recovered-placement.png	Personally reviewed	Recreation retains Goblet Squat and its exact cue. Back/Save remain clear. The separate placement hierarchy still prioritizes conversion/bulk tools before Set inputs: FND-20260910-026 remains open.
wide/gym.routine-authoring.upper.png	Personally reviewed	Upper remains selected with two ordered exercises. Add precedes records; notes and import are secondary. Existing placement record composition is retained.
wide/gym.routine-authoring.new.png	Personally reviewed	Setup uses the shared navigation role; Add Exercises follows the selected day, 764 pixels higher on the ordinary phone. Notes are optional and collapsed. Wide reading measure remains a shared-shell follow-up.
phone-neighbors/gym.531.workout.active.png	Personally reviewed	Programmed Squat workout retains the explicit 65 percent Training Max target, 130 kg and five reps. Main work identity and ordinary workout actions remain visible; light-theme route retained.
phone-neighbors/gym.routine.active-blocked.png	Personally reviewed	Generated four-day program exposes exactly one Open Active Workout action and readable current cycle/phase/next-exercise context; light-theme native route retained.
wide-neighbors/gym.531.workout.active.png	Personally reviewed	Programmed Squat workout retains the explicit 65 percent Training Max target, 130 kg and five reps. Main work identity and ordinary workout actions remain visible; light-theme route retained.
wide-neighbors/gym.routine.active-blocked.png	Personally reviewed	Generated four-day program exposes exactly one Open Active Workout action and readable current cycle/phase/next-exercise context; light-theme native route retained.
