setting	persistence_evidence	behavior_evidence
setupCompleted	AppSettingsPersistenceTest	WhipAppTest
powerMode	AppSettingsPersistenceTest	WhipComposeSemanticsTest
lowPressureMode	AppSettingsPersistenceTest	WhipComposeSemanticsTest
notificationPermissionRequested	AppSettingsPersistenceTest	NotificationDeliveryTest
activeAreaScope	AppSettingsPersistenceTest	AreaFeatureUiTest
themeMode	AppSettingsPersistenceTest	InteractionControlUiTest
dynamicColor	AppSettingsPersistenceTest	InteractionControlUiTest
compactItemLayout	AppSettingsPersistenceTest	ProductivityCardDesignUiTest
firstDayOfWeek	AppSettingsPersistenceTest	ReviewCopyTest
timeZoneId	AppSettingsPersistenceTest	AppSettingsTest
dayCutoffMinutes	AppSettingsPersistenceTest	AppSettingsTest
massUnitId	AppSettingsPersistenceTest	DisplayUnitsTest
distanceUnitId	AppSettingsPersistenceTest	DisplayUnitsTest
volumeUnitId	AppSettingsPersistenceTest	MeasurementTest
gymWeightUnitId	AppSettingsPersistenceTest	GymPowerInputUiTest
numberPrecision	AppSettingsPersistenceTest	MeasurementTest
oneRepMaxFormula	AppSettingsPersistenceTest	GymCalculationsTest
oneRepMaxRepCutoff	AppSettingsPersistenceTest	GymCalculationsTest
defaultRestSeconds	AppSettingsPersistenceTest	GymPowerInputUiTest
restTimerPresetSeconds	AppSettingsPersistenceTest	AppSettingsTest
timerSound	AppSettingsPersistenceTest	NotificationDeliveryTest
timerVibration	AppSettingsPersistenceTest	NotificationDeliveryTest
keepScreenAwake	AppSettingsPersistenceTest	CoreFeatureJourneyE2ETest
restTimerAutoStart	AppSettingsPersistenceTest	GymPowerInputUiTest
showGymRpe	AppSettingsPersistenceTest	GymPowerInputUiTest
showGymRir	AppSettingsPersistenceTest	GymPowerInputUiTest
showGymTempo	AppSettingsPersistenceTest	GymPowerInputUiTest
includeWarmupsInGymStats	AppSettingsPersistenceTest	GymAnalyticsTest
hardSetClassifications	AppSettingsPersistenceTest	GymAnalyticsTest
categoryAllocationMode	AppSettingsPersistenceTest	GymAnalyticsTest
adjustE1rmForEffort	AppSettingsPersistenceTest	GymAnalyticsTest
includeAssistedInPersonalRecords	AppSettingsPersistenceTest	GymAnalyticsTest
quietStartMinutes	AppSettingsPersistenceTest	QuietHoursTest
quietEndMinutes	AppSettingsPersistenceTest	QuietHoursTest
homeSections	AppSettingsPersistenceTest	HomeDestinationLinksTest
hiddenHomeSections	AppSettingsPersistenceTest	SettingsBehaviorUiTest
collapsedHomeSections	AppSettingsPersistenceTest	HomeDestinationLinksTest
healthConnectEnabled	AppSettingsPersistenceTest	HealthReconciliationTest
healthDataTypes	AppSettingsPersistenceTest	HealthReconciliationTest
healthSyncDays	AppSettingsPersistenceTest	HealthReconciliationTest
reviewPeriod	AppSettingsPersistenceTest	ReviewCopyTest
defaultTaskStepPolicy	AppSettingsPersistenceTest	TaskRepositoryTest
showAllUpcomingTaskOccurrences	AppSettingsPersistenceTest	TaskUpcomingVisibilityTest
showHabitsInTaskPlanning	AppSettingsPersistenceTest	WhipComposeSemanticsTest
defaultHabitWeekStart	AppSettingsPersistenceTest	HabitRulesTest
naturalLanguageTaskCapture	AppSettingsPersistenceTest	ProductivityCreationJourneyE2ETest
customIdentityEmojis	AppSettingsPersistenceTest	SettingsBehaviorUiTest
savedTaskFilters	AppSettingsPersistenceTest	PowerUserSettingsTest
homeTaskFilterName	AppSettingsPersistenceTest	PowerUserSettingsTest
reviewSections	AppSettingsPersistenceTest	ReviewCopyTest
gymCompactSetRows	AppSettingsPersistenceTest	GymPowerInputUiTest
platePresets	AppSettingsPersistenceTest	PowerUserSettingsTest
repPrescriptionSchemes	AppSettingsPersistenceTest	RoutineBuilderUiTest
trackedGymRecords	AppSettingsPersistenceTest	TrackedGymRecordsTest
focusTimerDeadlineMillis	AppSettingsPersistenceTest	CoreFeatureJourneyE2ETest
focusTimerTaskId	AppSettingsPersistenceTest	CoreFeatureJourneyE2ETest
