image	status	observation
before-phone/settings.data-controls.cleanup.dark.png	Confirmed	Native baseline: detached encryption prose, peer outlined backup actions and strong red reset panel; no functional restore defect inferred.
before-phone/settings.data-controls.overview.dark.png	Confirmed	Native baseline: detached encryption prose, peer outlined backup actions and strong red reset panel; no functional restore defect inferred.
pilot-phone/settings.data-controls.cleanup.dark.png	Verified	Reset entry and consequence copy are readable with red text on a neutral section. This is deliberately scrolled to the destructive action; preceding content can be clipped by the viewport.
pilot-phone/settings.data-controls.cleanup.light.png	Verified	Reset entry and consequence copy are readable with red text on a neutral section. This is deliberately scrolled to the destructive action; preceding content can be clipped by the viewport.
pilot-phone/settings.data-controls.overview.dark.png	Verified	Complete backup names and paired explanations share left alignment and natural wrapping. Plaintext disclosure remains visible; CSV purpose is explicit. Normal reading measure and navigation remain intact.
pilot-phone/settings.data-controls.overview.light.png	Verified	Complete backup names and paired explanations share left alignment and natural wrapping. Plaintext disclosure remains visible; CSV purpose is explicit. Normal reading measure and navigation remain intact.
pilot-phone/settings.data-controls.preview.dark.png	Verified	Native selected backup retains primary Merge, separate destructive Replace, readable summary and Cancel. Underlying generic green Settings Updated feedback is unchanged and remains a broader feedback-review item.
pilot-phone/settings.data-controls.preview.light.png	Verified	Native selected backup retains primary Merge, separate destructive Replace, readable summary and Cancel. Underlying generic green Settings Updated feedback is unchanged and remains a broader feedback-review item.
final-wide/habits.cleanup.entry.png	Verified	Habit inspector component fixture: red named deletion and full consequence copy remain clear below lifecycle actions; ordinary Check In stays primary. Gray host background is not native MainActivity acceptance.
final-wide/settings.data-controls.cleanup.dark.png	Verified	Reset entry and consequence copy are readable with red text on a neutral section. This is deliberately scrolled to the destructive action; preceding content can be clipped by the viewport.
final-wide/settings.data-controls.cleanup.light.png	Verified	Reset entry and consequence copy are readable with red text on a neutral section. This is deliberately scrolled to the destructive action; preceding content can be clipped by the viewport.
final-wide/settings.data-controls.overview.dark.png	Verified	Complete backup names and paired explanations share left alignment and natural wrapping. Plaintext disclosure remains visible; CSV purpose is explicit. Normal reading measure and navigation remain intact.
final-wide/settings.data-controls.overview.light.png	Verified	Complete backup names and paired explanations share left alignment and natural wrapping. Plaintext disclosure remains visible; CSV purpose is explicit. Normal reading measure and navigation remain intact.
final-wide/settings.data-controls.preview.dark.png	Verified	Native selected backup retains primary Merge, separate destructive Replace, readable summary and Cancel. Underlying generic green Settings Updated feedback is unchanged and remains a broader feedback-review item.
final-wide/settings.data-controls.preview.light.png	Verified	Native selected backup retains primary Merge, separate destructive Replace, readable summary and Cancel. Underlying generic green Settings Updated feedback is unchanged and remains a broader feedback-review item.
final-wide/tracks.cleanup.entry.png	Verified	Native Track Options retains distinct archive/delete meanings; red named deletion and trash icon remain visible on the neutral section. Test proceeds through recreation and exact deletion.
neighbors-phone/habits.cleanup.entry.png	Verified	Habit inspector component fixture: red named deletion and full consequence copy remain clear below lifecycle actions; ordinary Check In stays primary. Gray host background is not native MainActivity acceptance.
neighbors-phone/organization.lifecycle.delete-kept-history.png	Verified	Native Area detail after moving saved history: red heading and full explanatory text remain distinct from Archive. The action label is visible, but its lower button edge is below this captured viewport; the journey scrolls to it before exact deletion. This frame proves color hierarchy, not complete button bounds.
neighbors-phone/tracks.cleanup.entry.png	Verified	Native Track Options retains distinct archive/delete meanings; red named deletion and trash icon remain visible on the neutral section. Test proceeds through recreation and exact deletion.
