artifact	surface	observation
before-api26	track-start.large	Generic Identity instructions occupy most opening; Track Name begins low and Fields are off-screen. Save remains fixed.
before-api26	entry-start.large	Repeated Track headline and instructions leave only Name visible at the bottom; Distance is off-screen.
before-api26	track-name.large	Focused Track Name, floating label and character counter fit above real IME; single-line text scrolls horizontally.
before-api26	entry-name.large	Focused Name and floating label fit above real IME; trailing introductory text remains above the input.
before-api26	track-start.ordinary	Description and Emoji follow generic Identity guidance before any Entry Fields; Name and Save are readable.
before-api26	entry-start.ordinary	Track headline and introduction precede Name/Distance; both inputs visible but core choices low.
before-api26	track-name.ordinary	Whole focused Track Name/label/counter above IME, with scrolled Identity guidance above.
before-api26	entry-name.ordinary	Whole Name and label above IME, with introductory copy remaining above.
before-api26	definition.ordinary	Field cards/reorder/edit readable; lengthy guidance occupies extra opening space.
before-api26	definition.large	Name and Distance cards retain wrapped labels and actions; remaining guidance scrolls above.
before-api26	entry-validation.ordinary	Required-field summary visible; repeated introduction delays the first invalid input.
before-api26	entry-validation.large	Complete required summary visible; repeated Track headline/instructions push invalid inputs off-screen.
before-api26	entry-reopened.ordinary	Reopened Entry repeats its stored Name in a headline; corrected Distance 2.25 is visible.
before-api26	entry-reopened.large	Viewport scrolled to Distance 2.25; Name partly above viewport, matching deliberate field scrolling rather than input loss.
before-api26-diagnostic	track-name-large-ime-absent	Rejected typing evidence: focused Track Name is shown but no native keyboard is present.
before-api37	track-start.ordinary	Full-window Name/Description/Emoji precede Fields; Save and Field edit actions are far from their labels.
before-api37	track-start.large	Full-window Name/Description/Emoji precede Fields; Save and Field edit actions are far from their labels.
before-api37	entry-start.ordinary	Repeated Track headline/instructions and full-window fields; Scale endpoints and choice indicators widely separated.
before-api37	entry-start.large	Repeated Track headline/instructions and full-window fields; Scale endpoints and choice indicators widely separated.
before-api37	definition.ordinary	All seven type cards retain labels and edits, but each spans virtually the full 1280 dp width.
before-api37	track-name.ordinary	Complete focused Track Name/label/counter above real IME, but full-width serial form and optional metadata dominate.
before-api37	track-name.large	Complete focused Track Name/label/counter above real IME, but full-width serial form and optional metadata dominate.
before-api37	entry-name.large	Focused Name/label above real IME; required Distance summary and repeated Track introduction consume preceding space.
before-api37	entry-name.ordinary	Focused Name/label above real IME; validation, repeated identity and wide controls precede it.
before-api37	definition.large	Large-text type cards and edit controls span full width; lower Rained card requires scrolling.
before-api37	entry-validation.large	Full required summary and both invalid fields visible, separated by repeated Track introduction.
before-api37	entry-validation.ordinary	Required summary and inline errors readable, with repeated introduction between them.
before-api37	entry-reopened.ordinary	Stored Entry name repeats in headline; corrected Distance 2.25, Trail and 3.5 Scale remain visible across full-width controls.
before-api37	entry-reopened.large	Stored Entry name repeats in headline; corrected Distance 2.25, Trail and 3.5 Scale remain visible across full-width controls.
final-api37	track-start.ordinary	Name and Entry Fields precede optional Details; centered form keeps Save and Field edit near content, with clear side margins.
final-api37	track-start.large	Name and Entry Fields precede optional Details; centered form keeps Save and Field edit near content, with clear side margins.
final-api37	entry-start.large	Concise Track context leads directly to complete Name and Distance inputs; unit, Choice and Scale remain coherent within centered column.
final-api37	track-name.ordinary	Whole focused Track Name and label/counter above native IME; Fields appear immediately below in aligned column.
final-api37	track-name.large	Whole focused Track Name and label/counter above native IME; Fields appear immediately below in aligned column.
final-api37	entry-start.ordinary	Concise Track context; seven-type flow exposes Name, Distance, Choice, Scale, Notes and Date with bounded controls.
final-api37	entry-name.ordinary	Whole Name/label above native IME; concise context and remaining required Distance problem visible in aligned column.
final-api37	entry-name.large	Whole Name/label above native IME; concise context and remaining required Distance problem visible in aligned column.
final-api37	definition.large	Readable Name, Distance, Terrain and fractional Scale cards follow concise setup; reorder/edit controls align within form.
