surface_id	family	kind	state	source_keys	capture_selector	status	baseline_evidence	source_and_journey_review	visual_review	findings_and_changes	final_evidence
gym.routine-authoring.new	gym	page	Native Routine new	route:gym-routine-authoring-new	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	Verified	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	Setup uses the shared navigation role; Add Exercises follows the selected day, 764 pixels higher on the ordinary phone. Notes are optional and collapsed. Wide reading measure remains a shared-shell follow-up.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.routine-authoring.upper	gym	page	Native Routine upper	route:gym-routine-authoring-upper	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	Verified	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	Upper remains selected with two ordered exercises. Add precedes records; notes and import are secondary. Existing placement record composition is retained.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.routine-authoring.recovered-placement	gym	page	Native Routine recovered placement	route:gym-routine-authoring-recovered-placement	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	In progress	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	Recreation retains Goblet Squat and its exact cue. Back/Save remain clear. The separate placement hierarchy still prioritizes conversion/bulk tools before Set inputs: FND-20260910-026 remains open.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.routine-authoring.lower	gym	page	Native Routine lower	route:gym-routine-authoring-lower	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	Verified	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	Lower remains selected with the intended single exercise, reachable Edit and Add, and optional notes. No context loss after placement Back.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.routine-authoring.routine-notes	gym	page	Native Routine routine notes	route:gym-routine-authoring-routine-notes	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	Verified	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	Expanded notes preserve the complete authored cue after recreation and remain editable; the selected Lower day is unchanged.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.routine-authoring.saved-in-place	gym	page	Native Routine saved in place	route:gym-routine-authoring-saved-in-place	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	In progress	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	Save visibly confirms Lower while retaining Goblet Squat editing; Save becomes unavailable until a further edit. The specialized placement hierarchy follow-up remains FND-20260910-026.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.routine-authoring.workout	gym	page	Native Routine workout	route:gym-routine-authoring-workout	com.whip.app.RoutineAuthoringJourneyE2ETest#twoDayRoutinePreservesContextAndStartsTheChosenDay	In progress	9d165e2; Oh4sql native baseline passes.	Real two-day creation, selected placement/day recreation, notes persistence, reopen/edit and chosen-day launch pass on API 34/37. Complete authored placement/Set values survive editor save; replacement child IDs follow existing repository policy. Complete programming/execution and FND-20260910-026 remain open.	The chosen Lower routine day opens with Goblet Squat as the next Set. Visible routine/day identity and action labels are preserved. This is launch evidence, not complete workout-history acceptance.	FND-20260910-025; DEC-20260910-016.	VER-20260910-016; artifacts/astra-audit/2026-09-10/routine-authoring/README.md; OooTg1 passes 208 Android and 109 JVM checks; API 37 five-method run passes. Readiness passes 371 JVM tests, build/lint/static checks.
gym.library-builder.exercise-list	gym	page	Native Gym exercise list	route:gym-library-builder-exercise-list	com.whip.app.GymLibraryJourneyE2ETest#equipmentSearchAndFilterIncludeEveryLinkedExercise	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Complete authored names and Edit controls share the record header; tracking summaries occupy the full supporting row. The introduction is task-oriented. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.equipment-search	gym	page	Native Gym equipment search	route:gym-library-builder-equipment-search	com.whip.app.GymLibraryJourneyE2ETest#equipmentSearchAndFilterIncludeEveryLinkedExercise	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The entered equipment query has a visible Clear Search action and both linked Exercises appear in the catalog. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.equipment-filter	gym	page	Native Gym equipment filter	route:gym-library-builder-equipment-filter	com.whip.app.GymLibraryJourneyE2ETest#equipmentSearchAndFilterIncludeEveryLinkedExercise	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Any Machine remains visible as an active removable filter; both linked catalog records appear while the unrelated walk is excluded from the filtered catalog. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
