cohort	surface_id	status	observation_and_limit
before-phone	settings.health.receipt-warning	Reviewed	Historical real SettingsContent control fixture with deterministic provider seam. Shows the now-removed sync/category/window/access controls. Scrolled position and gray fixture status bar are not MainActivity or matched geometry acceptance.
pilot-phone	settings.data-privacy.local	Reviewed	Native Data & Privacy starts with Backup & Export. Folder, backup, restore and CSV controls remain readable; reset follows. No integration controls. Existing reset-card hierarchy is outside this removal acceptance.
pilot-phone	habits.legacy-import.manual	Rejected	Native action persisted, but the image precedes the UI projection (0/10000). Final fixture now waits for visible 1/10000; this is not accepted as completed-action feedback.
pilot-phone	habits.legacy-import.history	Reviewed	Native History shows Logged 1 Today alongside original Logged 6500 / Yesterday / authored note / Imported activity. Add 1 and Log an Earlier Day remain available. Exact saved fields and recreation are asserted.
final-phone	settings.data-privacy.local	Reviewed	Native Data & Privacy starts with Backup & Export. Folder, backup, restore and CSV controls remain readable; reset follows. No integration controls. Existing reset-card hierarchy is outside this removal acceptance.
final-phone	habits.legacy-import.manual	Reviewed	Native Today shows a reachable +1 action and settled 1/10000 progress after manual continuation. Ordinary shared card and compact/wide navigation remain readable.
final-phone	habits.legacy-import.history	Reviewed	Native History shows Logged 1 Today alongside original Logged 6500 / Yesterday / authored note / Imported activity. Add 1 and Log an Earlier Day remain available. Exact saved fields and recreation are asserted.
final-wide	settings.data-privacy.local	Reviewed	Native Data & Privacy starts with Backup & Export. Folder, backup, restore and CSV controls remain readable; reset follows. No integration controls. Existing reset-card hierarchy is outside this removal acceptance.
final-wide	habits.legacy-import.manual	Reviewed	Native Today shows a reachable +1 action and settled 1/10000 progress after manual continuation. Ordinary shared card and compact/wide navigation remain readable.
final-wide	habits.legacy-import.history	Reviewed	Native History shows Logged 1 Today alongside original Logged 6500 / Yesterday / authored note / Imported activity. Add 1 and Log an Earlier Day remain available. Exact saved fields and recreation are asserted.
