image	status	personal_observation	limits
api26/tracks.csv-recovery.invalid.ordinary.png	Verified	Validation counts identify one invalid row; the red error names Row 2 and Distance. Import is visibly disabled. The title and fixed actions remain readable.	The first invalid row blocks the whole batch; this frame alone does not prove persistence. Body content scrolls beyond these fixed boundaries.
api26/tracks.csv-recovery.replacement-cancelled.ordinary.png	Verified	Returning from the native picker retains the same invalid-row error and disabled Import. The title and fixed actions remain readable.	The matching preceding invalid frame is intentional; native Back and zero writes are asserted by the journey. Body content scrolls beyond these fixed boundaries.
api26/tracks.csv-recovery.replacement-ready.ordinary.png	Verified	Corrected replacement shows River loop and its interpreted Entry date/value with Import 2 Entries enabled. The title and fixed actions remain readable.	The nonstandard unit header is mapped later in the test; only values in the current scroll viewport are visually accepted. Body content scrolls beyond these fixed boundaries.
api26/tracks.csv-recovery.invalid.large.png	Verified	Validation counts identify one invalid row; the red error names Row 2 and Distance. Import is visibly disabled. The two-line title and vertically stacked actions fit the compact dialog.	The first invalid row blocks the whole batch; this frame alone does not prove persistence. Body content scrolls beyond these fixed boundaries.
api26/tracks.csv-recovery.replacement-cancelled.large.png	Verified	Returning from the native picker retains the same invalid-row error and disabled Import. The two-line title and vertically stacked actions fit the compact dialog.	The matching preceding invalid frame is intentional; native Back and zero writes are asserted by the journey. Body content scrolls beyond these fixed boundaries.
api26/tracks.csv-recovery.replacement-ready.large.png	Verified	Corrected replacement shows River loop and its interpreted Entry date/value with Import 2 Entries enabled. The two-line title and vertically stacked actions fit the compact dialog.	The nonstandard unit header is mapped later in the test; only values in the current scroll viewport are visually accepted. Body content scrolls beyond these fixed boundaries.
api34/tracks.csv-recovery.invalid.ordinary.png	Verified	Validation counts identify one invalid row; the red error names Row 2 and Distance. Import is visibly disabled. The title and fixed actions remain readable.	The first invalid row blocks the whole batch; this frame alone does not prove persistence. The frame is one position in a scrolling body.
api34/tracks.csv-recovery.replacement-cancelled.ordinary.png	Verified	Returning from the native picker retains the same invalid-row error and disabled Import. The title and fixed actions remain readable.	The matching preceding invalid frame is intentional; native Back and zero writes are asserted by the journey. The frame is one position in a scrolling body.
api34/tracks.csv-recovery.replacement-ready.ordinary.png	Verified	Corrected replacement shows River loop and its interpreted Entry date/value with Import 2 Entries enabled. The title and fixed actions remain readable.	The nonstandard unit header is mapped later in the test; only values in the current scroll viewport are visually accepted. The frame is one position in a scrolling body.
api34/tracks.csv-recovery.invalid.large.png	Verified	Validation counts identify one invalid row; the red error names Row 2 and Distance. Import is visibly disabled. The title and fixed actions remain readable.	The first invalid row blocks the whole batch; this frame alone does not prove persistence. Body content scrolls beyond these fixed boundaries.
api34/tracks.csv-recovery.replacement-cancelled.large.png	Verified	Returning from the native picker retains the same invalid-row error and disabled Import. The title and fixed actions remain readable.	The matching preceding invalid frame is intentional; native Back and zero writes are asserted by the journey. Body content scrolls beyond these fixed boundaries.
api34/tracks.csv-recovery.replacement-ready.large.png	Verified	Corrected replacement shows River loop and its interpreted Entry date/value with Import 2 Entries enabled. The title and fixed actions remain readable.	The nonstandard unit header is mapped later in the test; only values in the current scroll viewport are visually accepted. Body content scrolls beyond these fixed boundaries.
api37/tracks.csv-recovery.invalid.ordinary.png	Verified	Validation counts identify one invalid row; the red error names Row 2 and Distance. Import is visibly disabled. The centered bounded dialog preserves the wide workspace context.	The first invalid row blocks the whole batch; this frame alone does not prove persistence. The frame is one position in a scrolling body.
