image	scope	review	observation
api26/tracks.definition-review.changed-history.large.png	Final	Personally inspected	Complete changed-impact failure and retained-draft guidance are visible; Save remains clear and lower form content scrolls.
api26/tracks.definition-review.changed-history.ordinary.png	Final	Personally inspected	Complete changed-impact failure and retained-draft guidance are visible; Save remains clear and lower form content scrolls.
api26/tracks.definition-review.duplicate-fields.large.png	Final	Personally inspected	Complete duplicate-name validation notice is visible below Edit Track/Save; lower form content scrolls.
api26/tracks.definition-review.duplicate-fields.ordinary.png	Final	Personally inspected	Complete duplicate-name validation notice is visible below Edit Track/Save; lower form content scrolls.
api26/tracks.definition-review.missing-identity.large.png	Final	Personally inspected	Complete missing Entry Identity validation notice is visible below Edit Track/Save; lower form content scrolls.
api26/tracks.definition-review.missing-identity.ordinary.png	Final	Personally inspected	Complete missing Entry Identity validation notice is visible below Edit Track/Save; lower form content scrolls.
api26/tracks.definition-review.normalized.large.png	Final	Personally inspected	Small enlarged Option 2 shows only part of the horizontally editable Paved street value. Full value is verified by persistence/semantics, not simultaneous visual fit. Fixed actions and vertical scrolling remain.
api26/tracks.definition-review.normalized.ordinary.png	Final	Personally inspected	Current Paved street value is shown in the reopened Field; fixed Cancel and Save Field remain clear. Other fields continue outside the vertical viewport.
api26/tracks.definition-review.remove-field.large.png	Final	Personally inspected	Complete draft-removal count and exact-review explanation are readable above fixed Cancel/Remove Field actions. The frame is scrolled to the end of the explanation; the heading is above this viewport.
api26/tracks.definition-review.remove-field.ordinary.png	Final	Personally inspected	Complete draft-removal count and exact-review explanation are readable above fixed Cancel/Remove Field actions.
api26/tracks.definition-review.replace-choice.large.png	Final	Personally inspected	Exact impact and Move Values to Trail are readable with fixed Keep Editing/Apply Reviewed Changes; short review uses bounded natural height. Destination wraps to two complete lines; heading/intro are above this viewport.
api26/tracks.definition-review.replace-choice.ordinary.png	Final	Personally inspected	Exact impact and Move Values to Trail are readable with fixed Keep Editing/Apply Reviewed Changes; short review uses bounded natural height.
api26-initial/tracks.definition-review.remove-field.large.png	Before adaptive refinement	Personally inspected	Enlarged warning is cut off after Before Save, Whip; no body scrolling owner exists.
api26-initial/tracks.definition-review.replace-choice.large.png	Before adaptive refinement	Personally inspected	Enlarged selected replacement is ellipsized as Move Values t; Trail destination is hidden. Actions are reachable.
api34/tracks.definition-review.changed-history.large.png	Final	Personally inspected	Complete changed-impact failure and retained-draft guidance are visible; Save remains clear and lower form content scrolls.
api34/tracks.definition-review.changed-history.ordinary.png	Final	Personally inspected	Complete changed-impact failure and retained-draft guidance are visible; Save remains clear and lower form content scrolls.
api34/tracks.definition-review.duplicate-fields.large.png	Final	Personally inspected	Complete duplicate-name validation notice is visible below Edit Track/Save; lower form content scrolls.
api34/tracks.definition-review.duplicate-fields.ordinary.png	Final	Personally inspected	Complete duplicate-name validation notice is visible below Edit Track/Save; lower form content scrolls.
api34/tracks.definition-review.missing-identity.large.png	Final	Personally inspected	Complete missing Entry Identity validation notice is visible below Edit Track/Save; lower form content scrolls.
api34/tracks.definition-review.missing-identity.ordinary.png	Final	Personally inspected	Complete missing Entry Identity validation notice is visible below Edit Track/Save; lower form content scrolls.
api34/tracks.definition-review.normalized.large.png	Final	Personally inspected	Current Paved street value is shown in the reopened Field; fixed Cancel and Save Field remain clear. Other fields continue outside the vertical viewport.
api34/tracks.definition-review.normalized.ordinary.png	Final	Personally inspected	Current Paved street value is shown in the reopened Field; fixed Cancel and Save Field remain clear. Other fields continue outside the vertical viewport.
api34/tracks.definition-review.remove-field.large.png	Final	Personally inspected	Complete draft-removal count and exact-review explanation are readable above fixed Cancel/Remove Field actions.
api34/tracks.definition-review.remove-field.ordinary.png	Final	Personally inspected	Complete draft-removal count and exact-review explanation are readable above fixed Cancel/Remove Field actions.
api34/tracks.definition-review.replace-choice.large.png	Final	Personally inspected	Exact impact and Move Values to Trail are readable with fixed Keep Editing/Apply Reviewed Changes; short review uses bounded natural height.
api34/tracks.definition-review.replace-choice.ordinary.png	Final	Personally inspected	Exact impact and Move Values to Trail are readable with fixed Keep Editing/Apply Reviewed Changes; short review uses bounded natural height.
api37/tracks.definition-review.changed-history.large.png	Final	Personally inspected	Complete changed-impact failure and retained-draft guidance are visible; Save remains clear and lower form content scrolls.
