image	review	assessment	observation
final-api34/tracks.history.archived.ordinary.png	Original personally inspected	Verified	Full first records and dates are readable with the existing global navigation and contextual Restore.
final-api34/tracks.history.archived.large.png	Original personally inspected	Verified	Full initial title/date and contextual Restore are visible at actual 200% text; existing named navigation is retained.
final-api34/tracks.history.records.ordinary.png	Original personally inspected	Verified	Older record titles/dates form distinct readable rows; the selected Track context remains available.
final-api34/tracks.history.records.large.png	Original personally inspected	Verified	Entry 12 and its date are complete at enlarged text; partial neighboring rows reflect scrolling.
final-api34/tracks.history.search.ordinary.png	Original personally inspected	Verified	Whole query and floating label plus the matching title/date are visible above the native keyboard.
final-api34/tracks.history.search.large.png	Original personally inspected	Verified	Whole enlarged query/label and local identity are visible above the keyboard; the result requires a separate scroll.
final-api34/tracks.history.search-result.ordinary.png	Original personally inspected	Verified	Keyboard dismissal preserves the query and full matching title/date; global controls return.
final-api34/tracks.history.search-result.large.png	Original personally inspected	Verified	Retained enlarged query and matching title/date are readable after keyboard dismissal.
final-api34/tracks.history.restored.ordinary.png	Original personally inspected	Verified	Active Entry actions and Add Entry are present, with readable record titles/dates after restoration.
final-api34/tracks.history.restored.large.png	Original personally inspected	Verified	Active first title/date and Add Entry remain readable. The native catalog now retains labels on partially visible Entry actions.
final-api34/tracks.history.inspector.ordinary.png	Original personally inspected	Verified	Read-only identity, Track/date context and recorded facts are legible in the bounded inspector.
final-api34/tracks.history.inspector.large.png	Original personally inspected	Verified	Enlarged record identity, supporting context and recorded facts are legible; dialog remains read-only.
final-api37/tracks.history.archived.ordinary.png	Original personally inspected	Verified	Full first records and dates are readable with the existing global navigation and contextual Restore. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.archived.large.png	Original personally inspected	Verified	Full initial title/date and contextual Restore are visible at actual 200% text; existing named navigation is retained. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.records.ordinary.png	Original personally inspected	Verified	Older record titles/dates form distinct readable rows; the selected Track context remains available. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.records.large.png	Original personally inspected	Verified	Entry 12 and its date are complete at enlarged text; partial neighboring rows reflect scrolling. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.search.ordinary.png	Original personally inspected	Verified	Whole query and floating label plus the matching title/date are visible above the native keyboard. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.search.large.png	Original personally inspected	Verified	Whole enlarged query/label and local identity are visible above the keyboard; the result requires a separate scroll. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.search-result.ordinary.png	Original personally inspected	Verified	Keyboard dismissal preserves the query and full matching title/date; global controls return. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.search-result.large.png	Original personally inspected	Verified	Retained enlarged query and matching title/date are readable after keyboard dismissal. Persistent rail and collection/detail columns retain their existing composition.
