environment	surface_id	status	visual_review	evidence
API34	shared.search.native-large	Verified	Dark native 200% Search keeps title, exit, query, Task scope and complete Task result above the keyboard. API 26 independently verifies the full two-line result in its smaller pane.	final/shared.search.native-large.png + .xml
API34	shared.search.native-filters-large	Verified	Dark 200% Search shows selected Match Any completely; sticky query, scope, Filters (2) and Results 2 remain readable while the filter list scrolls.	final/shared.search.native-filters-large.png + .xml
API34	shared.search.native-recreated-large	Verified	Recreated dark 200% Search retains Native missing, All Whip, Filters (2), Results 2 and the visible keyboard; header and scope controls remain readable.	final/shared.search.native-recreated-large.png + .xml
API34	shared.search.results	Verified	Ordinary dark Search shows Plan, one matching Plan the week Task, Main context and result count above the keyboard without header or query clipping.	final/shared.search.results.png + .xml
API34	shared.search.empty	Verified	Ordinary dark Search shows Results 0 and readable guidance naming another search or adjusted Filters above the keyboard; incomplete-source behavior is separately regression-tested.	final/shared.search.empty.png + .xml
API34	platform.dialog.search-dark	Verified	Ordinary dark Search on light Android retains title, close, query, scope, filters and starting prompt with clear system icons. This frame itself has no visible keyboard.	final/platform.dialog.search-dark.png + .xml
API34	platform.dialog.task-editor-dark	Verified	Ordinary dark Task editor retains the complete Edit Task/exit/Save header, required title label, emoji, schedule choices and clear system icons. Existing Task receives no initial keyboard.	final/platform.dialog.task-editor-dark.png + .xml
API34	platform.dialog.primary-editor-dark	Verified	Ordinary dark Habit editor retains title/exit/Save, identity, readable tracking choices and schedule. Bottom explanatory text continues below the scroll viewport; no new obstruction observed.	final/platform.dialog.primary-editor-dark.png + .xml
API34	platform.dialog.inspector-dark	Verified	Dark Task inspector retains readable identity, status, Edit/Close, three tabs, context and completion dock. Scoped neighboring regression; full Task review remains open.	final/platform.dialog.inspector-dark.png + .xml
API34	platform.dialog.dark-on-light	Verified	Dark welcome dialog on light Android keeps its purpose, body, both setup choices and system icons readable. Scoped theme regression.	final/platform.dialog.dark-on-light.png + .xml
API34	platform.dialog.light-on-dark	Investigating	Light welcome dialog on dark Android keeps its body and both setup choices readable. Dark status icons sit on the dimmed gray backdrop; further native contrast investigation is required outside the Search fix.	final/platform.dialog.light-on-dark.png + .xml
API34	shared.global-add.menu	Investigating	All five global-add choices fit with readable labels and clear separation. Menu overlaps the Home content as expected; complete creation workflows remain under broader review.	final/shared.global-add.menu.png + .xml
API34	shared.review.summary	Investigating	Review shows period, included sections, date range, source-drilldown guidance and Task/Habit overview cards clearly. Data meaning, deeper sections and full review journeys remain pending.	final/shared.review.summary.png + .xml
API26	shared.search.native-large	Verified	Final light 320×533 dp native 200% Search shows its complete two-line Task result above the keyboard, with title/query fixed and scope/results sharing the short scroll area.	api26/shared.search.native-large.png + .xml
API26	shared.search.native-filters-large	Verified	Final light smallest-viewport filter state shows the complete selected Match Any control above the keyboard; query and exit remain visible.	api26/shared.search.native-filters-large.png + .xml
API26	shared.search.native-recreated-large	Verified	Final light recreated Search retains the query, All Whip and Filters (2) controls above the keyboard; the subsequent exact Task inspector route passes.	api26/shared.search.native-recreated-large.png + .xml
API37	shared.search.native-large	Verified	Final light large-screen native 200% Search shows Task-scoped results and controls in the wide arrangement above the keyboard.	api37/shared.search.native-large.png + .xml
API37	shared.search.native-filters-large	Verified	Final light wide native filter state keeps Match Any, query and results readable above the keyboard with the painted status backdrop.	api37/shared.search.native-filters-large.png + .xml
API37	shared.search.native-recreated-large	Verified	Final light recreated Search includes Gboard's font-size banner and has switched to Compact. Query focus and keyboard survive that real reflow; retained filters and later Task routing pass.	api37/shared.search.native-recreated-large.png + .xml
