capability	input_or_trigger	user_visible_output	persisted_or_dependent_consequence	recovery_or_failure_contract	strongest_evidence_tier	executable_evidence	adaptive_accessibility_evidence	remaining_gap	disposition
setup-and-returning-launch	fresh install; recommended/custom setup; later cold launch	setup choices or returning Home	AppSettings defaults and setup completion survive restart	invalid/abandoned setup never creates partial domain data	component journey	CoreFeatureJourneyE2ETest#seededFeaturesRenderThroughRealRepositoriesAndSurviveActivityRecreation; AppSettingsPersistenceTest#everyUserEditablePreferenceSurvivesRepositoryRecreation	AdaptiveWhipScreenTest#bookFoldUsesHingeAwareSupportPaneAndPersistentNavigation; VisualAcceptanceMatrixTest#primaryAdaptiveThemeFontAndRtlMatrixHasAnOpaqueConformingSurface	true OS process-kill launch is release smoke, not instrumentation	manual/platform-owned release lane
primary-navigation	Home/Tasks/Habits/Goals/Tracks/Gym/Settings actions	exact destination and stable peer navigation	selected domain route survives valid recreation; peer tabs never swap	Back returns hierarchically; every peer page stays directly visible	component journey	WhipNavigationTest#everyFirstClassDestinationIsReachableThroughVisibleNavigation; InteractionControlUiTest#destinationTabsKeepEveryPeerDirectAndStableWhenSelecting	AdaptiveWhipScreenTest#compactNavigationMatchesTheRailAndKeepsWhipHomeReachable; InteractionControlUiTest#explicitDirectDestinationsRemainStableAtLargeTextInRtl	platform predictive-back animation remains manual	accepted platform-owned
home-dashboard	launch with empty/populated domains; section customization	coherent onboarding, today summary, configured sections	section order/visibility/details persist; saved Task filter stays local	at least one section remains; no global Area mutation	component journey	CoreFeatureJourneyE2ETest#seededFeaturesRenderThroughRealRepositoriesAndSurviveActivityRecreation; HomeDestinationLinksTest#fiveDestinationsUseConsistentOrderedIntroductionCards	VisualAcceptanceMatrixTest#primaryAdaptiveThemeFontAndRtlMatrixHasAnOpaqueConformingSurface; WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework	loading/error injection only representative, not every section combination	staged risk coverage
global-add	contextual + menu	verb-labelled create/start/add action opens exact editor	new entity/session persists through its owning repository	cancel leaves no row; validation keeps editor open	component journey	WhipComposeSemanticsTest#globalAddAndHabitEditorAreReachableThroughComposeSemantics; ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi	WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks	all menu commands are not each full-app E2E	component plus repository evidence accepted
unified-search	query; content filters; current/all Areas; structured tokens	bounded ranked results and exact result routing	search Area override is local; cross-Area open uses transient restore scope	no result is safe; Close/Escape; persistent Area preference unchanged	component journey	GlobalSearchRoutingTest#everyNonTaskSearchDomainLandsOnTheExactActiveOrArchivedRecord; InteractionControlUiTest#searchFilterSummariesRemainReadableAndTouchSizedWhenSeveralAreActive	InteractionControlUiTest#searchFilterSummariesRemainReadableAndTouchSizedWhenSeveralAreActive	query-backed paging and 10k latency benchmark remain architectural work	staged; bounded history projection implemented
task-create-edit	quick capture; full editor; smart language; subtasks	new/updated Task and parsed assumptions	Task, recurrence, reminders, subtasks and Area persist	invalid save remains open; dirty discard; failed save no partial row	real-app E2E	ProductivityCreationJourneyE2ETest#smartTaskCaptureExplainsHighlightsPersistsAndReversesThroughTheRealUi; ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi	AdaptiveWhipScreenTest#compactTaskEditorRemainsReachableAtTwoHundredPercentText; WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks	OS reminder delivery is separate platform lane	covered by split evidence
task-completion-history	complete/reopen/skip recurring occurrence; undo	row moves to correct state without redundant success spam	occurrence ledger, subtask state and next recurrence update idempotently	undo/reopen; stale delete/recovery contracts	repository integration	TaskDeletionUiTest#completedRecurringTaskOffersOccurrenceLevelRecovery; TaskRepositoryTest#completedRecurringOccurrenceCanBeReopenedWithoutLosingItsStepState	WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks	full-app recurrence around DST remains split UI/domain evidence	accepted high-risk split
task-planning-bulk	Inbox/Today/Upcoming list/agenda/calendar; filter/sort/select/bulk edit	correct count, planning view and selected action lane	bulk metadata/date/archive/delete is atomic	stale selection rejected; hidden selection explained; destructive preview	repository integration	TaskBulkSelectionUiTest#activeSelectionKeepsPrimaryActionsVisibleAndSecondaryActionsInOverflow; TaskRepositoryTest#bulkMetadataRollsBackEveryTaskWhenAnyTargetIsMissing	TaskBulkSelectionUiTest#historySelectionOffersRelevantActionsForCompletedAndArchivedTasks	one real-app bulk cause/effect journey remains desirable	staged medium risk
task-custom-order	Reorder Tasks; touch drag; cancel; recreation	whole Task follows grip; visible Custom Order; pinned sections	one repository commit on release; durable manual positions and active Custom Order presentation	cancel writes nothing; hidden/scoped items cannot be reordered	real-app E2E	TaskReorderJourneyE2ETest#dragPreviewsPersistsCancelsAndSurvivesRecreation; TaskRepositoryTest#manualOrderIsStableAndRejectsMissingTargetsAtomically; AppSettingsPersistenceTest#everyUserEditablePreferenceSurvivesRepositoryRecreation	InteractionControlUiTest#longReorderListScrollsAndKeepsMovingAtTheViewportEdge; InteractionControlUiTest#repeatedAccessibilityMovesKeepAnnouncementWithTheLogicalItem	expanded-mode real-app gesture covered by shared primitive plus adaptive contracts	accepted representative E2E
habit-create-checkin	create tracking modes; +1/check/checklist/value/timer	correct current value/checklist state and completion	one idempotent log; checklist auto-completion follows preference	failed check-in no phantom value; undo supported	real-app E2E	ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi; HabitRepositoryTest#aRealCheckInClearsSkipAndFailedCheckOffDoesNotInventValueOne	WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks	real timer duration background path is platform split	covered by split evidence
