file	status	personal_visual_review	scope_limit
final/tasks.editor.existing-open.ordinary.png	Verified	Ordinary light editor opens without keyboard. Title, label, counter, emoji, schedule selection and fixed header are readable.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-input.ordinary.png	Verified	Revised title and counter remain fully visible above the keyboard; fixed Edit Task, exit and Save retain clear separation.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-recreated.ordinary.png	Verified	Recreated draft retains revised title, focused field, counter and keyboard. Explicit refocus may move the caret.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-reopened.ordinary.png	Verified	Persisted revised title reopens without keyboard; emoji and scheduling controls retain their values and reading order.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-open.large.png	Verified	Actual 200% title, counter, emoji and stacked Save header are readable before keyboard input; lower scheduling content scrolls.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-input.large.png	Verified	Enlarged revised title and counter fit above the keyboard; emoji remains visible and header actions retain their space.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-recreated.large.png	Verified	Enlarged recreated draft retains text, complete label and counter above keyboard; caret follows explicit field selection.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
final/tasks.editor.existing-reopened.large.png	Verified	Enlarged persisted title is readable after reopening with keyboard closed; scheduling continuation remains in the scrollable form.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-open.ordinary.png	Verified	Settled ordinary API 26 opens with focused title and keyboard. Full label, field and counter fit; preceding Basics text is partly scrolled away.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-input.ordinary.png	Verified	Revised title, counter and focused outline remain complete above the small-screen keyboard; header actions stay fixed.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-recreated.ordinary.png	Verified	Recreated ordinary draft retains revised text and readable field/label/counter above keyboard. Partial section heading reflects body scrolling.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-reopened.ordinary.png	Verified	Saved title reopens with platform-selected focus and visible keyboard; full field and count are readable.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-open.large.png	Verified	Actual 200% field/label/counter fit in the short body. Long single-line text scrolls horizontally within the field; header actions remain clear.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-input.large.png	Verified	Enlarged edited field scrolls to the insertion point while retaining full label, outline and counter above keyboard.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-recreated.large.png	Verified	Recreated enlarged draft retains edited text and horizontal scrolling; full label/count and fixed header remain visible.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api26/tasks.editor.existing-reopened.large.png	Verified	Persisted enlarged title reopens at leading text with keyboard and full field/label/count visible; longer text remains horizontally scrollable.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api37/tasks.editor.existing-open.ordinary.png	Verified	Wide ordinary editor opens with complete header, field and schedule controls. Long horizontal label/control separation remains a design follow-up.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
api37/tasks.editor.existing-recreated.large.png	Verified	Wide actual-200%-text recreated draft keeps title/label/counter and fixed header above the keyboard. Full wide-form design remains pending.	Native title edit/interruption/persistence only; full Task and wide-form review remain open.
