environment	surface_id	status	visual_review	evidence
API34	platform.dialog.light-on-dark	Verified	Light welcome now has clear white clock/status icons over the unchanged dimmed gray exterior; purpose, body and both setup choices retain their readable arrangement. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.light-on-dark.png + .xml
API34	platform.dialog.task-editor-light	Verified	Light Task editor now has clear white status icons over the dimmed exterior; Edit Task, exit, Save, title, emoji and schedule controls remain readable at this API 34 viewport. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.task-editor-light.png + .xml
API34	platform.dialog.inspector-light	Verified	Light inspector retains clear white status icons, entity identity, status, Edit/Close, tabs, context and completion dock; no new visual obstruction observed. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.inspector-light.png + .xml
API34	platform.dialog.primary-editor-light	Verified	Light Habit editor retains clear status icons and its title/exit/Save, identity, tracking choices and schedule. Lower help text continues within the existing scrollable form. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.primary-editor-light.png + .xml
API34	platform.dialog.search-light	Verified	Light Search retains dark status icons over its painted cream inset; title, close, query, scope, Filters and starting prompt remain clear. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.search-light.png + .xml
API34	platform.dialog.dark-on-light	Verified	Dark welcome retains bright system icons and readable purpose, body and both setup choices; the dimmed exterior and modal geometry are unchanged. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.dark-on-light.png + .xml
API34	platform.dialog.inspector-dark	Verified	Dark inspector retains clear status icons, entity identity, Edit/Close, tabs, context and completion dock. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.inspector-dark.png + .xml
API34	platform.dialog.task-editor-dark	Verified	Dark Task editor retains clear status icons, full header/actions, title and readable form controls; no new obstruction in this ordinary viewport. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.task-editor-dark.png + .xml
API34	platform.dialog.primary-editor-dark	Verified	Dark Habit editor retains clear status icons and readable header, identity, tracking choices and schedule within its existing scrollable form. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.primary-editor-dark.png + .xml
API34	platform.dialog.search-dark	Verified	Dark Search retains clear status icons, title, close, query, scope, Filters and initial prompt over its opaque background. Scoped window/neighbor review; complete area acceptance remains open.	final/platform.dialog.search-dark.png + .xml
API34	shared.search.native-large	Verified	Actual 200% dark Search retains clear system icons, full title/exit/query, Task scope and the complete matching Task result above the visible keyboard. Scoped window/neighbor review; complete area acceptance remains open.	final/shared.search.native-large.png + .xml
API34	shared.search.native-filters-large	Verified	Actual 200% dark Search retains clear status icons, query, All Whip, Filters (2), Results 2 and a complete selected Match Any control above the keyboard. Scoped window/neighbor review; complete area acceptance remains open.	final/shared.search.native-filters-large.png + .xml
API34	shared.search.native-recreated-large	Verified	Recreated 200% Search retains query, All Whip, Filters (2), Results 2, visible content-type controls and keyboard; title/exit/status contrast remains clear. Scoped window/neighbor review; complete area acceptance remains open.	final/shared.search.native-recreated-large.png + .xml
API34	tasks.editor.share-ime.large	Verified	Actual 200% shared Task retains clear status icons, full Create Task/exit/Save header, complete shortened-draft warning, focused label, emoji title and 200/200 count above the keyboard. Scoped window/neighbor review; complete area acceptance remains open.	final/tasks.editor.share-ime.large.png + .xml
API34	tasks.editor.share-ime.recreated-large	Verified	Recreated 200% shared Task retains readable status/header/action, disclosure, complete focused label and title/count above the keyboard; edited save/reopen passes in the owner journey. Scoped window/neighbor review; complete area acceptance remains open.	final/tasks.editor.share-ime.recreated-large.png + .xml
API26	platform.dialog.light-on-dark	Verified	White status icons, complete welcome purpose/body and both setup choices remain readable at 320×533 dp.	api26/platform.dialog.light-on-dark.png
API26	platform.dialog.task-editor-light	Investigating	White status icons and the complete Task header remain readable, but the visible keyboard crowds the existing Task title field below the body viewport. Investigate initial focus/scrolling in the Task journey review.	api26/platform.dialog.task-editor-light.png
API37	platform.dialog.light-on-dark	Verified	White clock/status icons remain clear above the wide welcome dialog's dimmed exterior. Android's green charging indicator is independent of the tested neutral theme ink.	api37/platform.dialog.light-on-dark.png + .xml
API37	platform.dialog.task-editor-light	Verified	White status icons remain clear above the wide light Task form; header/actions and fields are retained. Full wide-form design review remains open.	api37/platform.dialog.task-editor-light.png + .xml
