file	review_status	observation	remaining_scope
before/tracks.history.archived.ordinary.png	Confirmed	Oversized centered archive guidance precedes tools and records.	Baseline for FND-20260909-017 only.
before/tracks.history.archived.large.png	Confirmed	Oversized centered archive guidance precedes tools and records.	Baseline for FND-20260909-017 only.
final-api34/tracks.history.archived.ordinary.png	Verified	Read-only status and contextual Restore are legible; history retains its scrolling owner. First title is 221 px higher.	Scoped frame review only; whole Tracks remains open.
final-api34/tracks.history.records.ordinary.png	Verified	Older records retain clear identity/date and read-only actions.	Scoped frame review only; whole Tracks remains open.
final-api34/tracks.history.search.ordinary.png	Verified	Native query and matching record are visible above the keyboard at ordinary text.	Scoped frame review only; whole Tracks remains open.
final-api34/tracks.history.inspector.ordinary.png	Verified	Exact recorded Entry, date and close action are legible; no Entry Edit action.	Scoped frame review only; whole Tracks remains open.
final-api34/tracks.history.archived.large.png	Verified	Read-only status and contextual Restore are legible; history retains its scrolling owner. Two complete records now fit initially; first title is 444 px higher.	Scoped frame review only; whole Tracks remains open.
final-api34/tracks.history.records.large.png	Verified	Older records retain clear identity/date and read-only actions.	Scoped frame review only; whole Tracks remains open.
final-api34/tracks.history.search.large.png	Confirmed	Native keyboard partly covers the query; API 26 also pans identity under status icons.	FND-20260909-018 stays open; passing search/recreation does not accept this geometry.
final-api34/tracks.history.inspector.large.png	Verified	Exact recorded Entry, date and close action are legible; no Entry Edit action.	Scoped frame review only; whole Tracks remains open.
final-api26/tracks.history.archived.ordinary.png	Verified	Read-only status and contextual Restore are legible; history retains its scrolling owner. Short single-pane detail retains Back and inner tabs.	Scoped frame review only; whole Tracks remains open.
final-api26/tracks.history.records.ordinary.png	Verified	Older records retain clear identity/date and read-only actions.	Scoped frame review only; whole Tracks remains open.
final-api26/tracks.history.search.ordinary.png	Confirmed	Native keyboard partly covers the query; API 26 also pans identity under status icons.	FND-20260909-018 stays open; passing search/recreation does not accept this geometry.
final-api26/tracks.history.inspector.ordinary.png	Investigating	Exact recorded Entry, date and close action are legible; no Entry Edit action. Native surface is now opaque after settling the transition; the platform lacks the boot emoji glyph.	Platform/emoji review remains open; enlarged body scrolls to lower facts.
final-api26/tracks.history.archived.large.png	Verified	Read-only status and contextual Restore are legible; history retains its scrolling owner. Short single-pane detail retains Back and inner tabs.	Scoped frame review only; whole Tracks remains open.
final-api26/tracks.history.records.large.png	Investigating	Entry 12 identity is readable but its date is partly below the very short body viewport.	FND-20260909-018; further short-window reading design required.
final-api26/tracks.history.search.large.png	Confirmed	Native keyboard partly covers the query; API 26 also pans identity under status icons.	FND-20260909-018 stays open; passing search/recreation does not accept this geometry.
final-api26/tracks.history.inspector.large.png	Investigating	Exact recorded Entry, date and close action are legible; no Entry Edit action. Native surface is now opaque after settling the transition; the platform lacks the boot emoji glyph.	Platform/emoji review remains open; enlarged body scrolls to lower facts.
final-api37/tracks.history.archived.ordinary.png	Verified	Read-only status and contextual Restore are legible; history retains its scrolling owner.	Scoped frame review only; whole Tracks remains open. Wide support counts and enlarged workspace-tab spacing need broader review.
final-api37/tracks.history.records.ordinary.png	Verified	Older records retain clear identity/date and read-only actions.	Scoped frame review only; whole Tracks remains open.
final-api37/tracks.history.search.ordinary.png	Verified	Native query and matching record are visible above the keyboard at ordinary text.	Scoped frame review only; whole Tracks remains open.
final-api37/tracks.history.inspector.ordinary.png	Verified	Exact recorded Entry, date and close action are legible; no Entry Edit action.	Scoped frame review only; whole Tracks remains open.
final-api37/tracks.history.archived.large.png	Verified	Read-only status and contextual Restore are legible; history retains its scrolling owner.	Scoped frame review only; whole Tracks remains open. Wide support counts and enlarged workspace-tab spacing need broader review.
final-api37/tracks.history.records.large.png	Verified	Older records retain clear identity/date and read-only actions.	Scoped frame review only; whole Tracks remains open.
final-api37/tracks.history.search.large.png	Confirmed	Native keyboard partly covers the query; API 26 also pans identity under status icons.	FND-20260909-018 stays open; passing search/recreation does not accept this geometry.
final-api37/tracks.history.inspector.large.png	Verified	Exact recorded Entry, date and close action are legible; no Entry Edit action.	Scoped frame review only; whole Tracks remains open.
adjacent/tracks.archived.detail.entries.png	Verified	Compact status, Restore and read-only Entry are legible in dark theme.	Only the displayed frame; baseline source/design follow-ups in ASTRA_TRACKS_REVIEW_2026-09-09.md remain open.
adjacent/tracks.detail.entries.png	Verified	Ordinary active detail remains readable and retains its existing actions/destinations.	Only the displayed frame; baseline source/design follow-ups in ASTRA_TRACKS_REVIEW_2026-09-09.md remain open.
adjacent/tracks.detail.options.png	Verified	Ordinary active detail remains readable and retains its existing actions/destinations.	Only the displayed frame; baseline source/design follow-ups in ASTRA_TRACKS_REVIEW_2026-09-09.md remain open.
adjacent/tracks.detail.insights.png	Verified	Ordinary active detail remains readable and retains its existing actions/destinations.	Only the displayed frame; baseline source/design follow-ups in ASTRA_TRACKS_REVIEW_2026-09-09.md remain open.
