image	run	review_status	review_and_limits
before/gym.routine-prescription.initial.png	7nvicj	Reviewed for stated scope	Baseline first Working label at y1995; actual load/range fields fall below the phone viewport beneath helpers. FND-20260910-026 confirmed.
before/gym.routine-prescription.advanced.png	B6Rsmx	Reviewed for stated scope	Complete load, range, RPE, RIR, rest, tempo and note are readable after recreation; scroll owns the full body. No authored text truncation.
before/gym.routine-prescription.reopened.png	B6Rsmx	Reviewed for stated scope	Baseline requires scrolling past schemes/copy/TM to reach the retained prescription. Existing data and correctly disabled unchanged Save are preserved.
before/gym.routine-prescription.workout.png	B6Rsmx	Reviewed for stated scope	NEXT and target show 40 kg, 6–8 reps, RPE 8/RIR 2. FND-20260910-027 ready manual rest discrepancy remains open; this is scoped launch evidence.
before/gym.routine-prescription.history.png	B6Rsmx	Reviewed for stated scope	Performed 40 kg × 7 reps remains distinct from the 6–8 target. 1:30 rest, tempo 3010 and complete note remain visible after Routine changes to 45 kg.
phone/gym.routine-prescription.initial.png	xsVeJy	Reviewed for stated scope	Opening editor prioritizes the first complete load/range and Add Set. Shared TM disclosure remains available; fields and controls fit at 100%.
phone/gym.routine-prescription.advanced.png	xsVeJy	Reviewed for stated scope	Complete load, range, RPE, RIR, rest, tempo and note are readable after recreation; scroll owns the full body. No authored text truncation.
phone/gym.routine-prescription.reopened.png	xsVeJy	Reviewed for stated scope	Reopened load/range remain exact; Save is disabled until a real edit. Ordinary form and specialized Set controls retain their roles.
phone/gym.routine-prescription.tools.png	xsVeJy	Reviewed for stated scope	Notes precede grouped saved schemes, enabled warm-ups, copy-previous behavior and conversion. All actions remain reachable; no empty Superset heading.
phone/gym.routine-prescription.workout.png	xsVeJy	Reviewed for stated scope	NEXT and target show 40 kg, 6–8 reps, RPE 8/RIR 2. FND-20260910-027 ready manual rest discrepancy remains open; this is scoped launch evidence.
phone/gym.routine-prescription.history.png	xsVeJy	Reviewed for stated scope	Performed 40 kg × 7 reps remains distinct from the 6–8 target. 1:30 rest, tempo 3010 and complete note remain visible after Routine changes to 45 kg.
phone/gym.routine-authoring.recovered-placement.png	xsVeJy	Reviewed for stated scope	Complete cue remains in the selected Lower placement after recreation. Notes and supporting tools follow prescriptions; no clipping blocks scrolling.
phone/gym.routine-authoring.saved-in-place.png	xsVeJy	Reviewed for stated scope	Save confirms Continue editing Lower; complete changed cue remains and Back/Save context is preserved. Helpers remain subordinate and discoverable.
phone/gym.routine.active-blocked.png	xsVeJy	Reviewed for stated scope	Light-theme neighbor preserves active-workout editing restriction, program phase/eligibility and one named Open Active Workout action.
phone/gym.531.workout.active.png	xsVeJy	Reviewed for stated scope	Light-theme program launch retains Main identity, Cycle 1 / 5s / Day 1 and exact 65% TM → 130 kg × 5 target. Complete programmed-cycle acceptance remains open.
wide/gym.routine-prescription.initial.png	API37_FINAL	Reviewed for stated scope	Opening editor prioritizes the first complete load/range and Add Set. Shared TM disclosure remains available; fields and controls fit at 100%. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-prescription.advanced.png	API37_FINAL	Reviewed for stated scope	Complete load, range, RPE, RIR, rest, tempo and note are readable after recreation; scroll owns the full body. No authored text truncation. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-prescription.reopened.png	API37_FINAL	Reviewed for stated scope	Reopened load/range remain exact; Save is disabled until a real edit. Ordinary form and specialized Set controls retain their roles. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-prescription.tools.png	API37_FINAL	Reviewed for stated scope	Notes precede grouped saved schemes, enabled warm-ups, copy-previous behavior and conversion. All actions remain reachable; no empty Superset heading. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-prescription.workout.png	API37_FINAL	Reviewed for stated scope	NEXT and target show 40 kg, 6–8 reps, RPE 8/RIR 2. FND-20260910-027 ready manual rest discrepancy remains open; this is scoped launch evidence. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-prescription.history.png	API37_FINAL	Reviewed for stated scope	Performed 40 kg × 7 reps remains distinct from the 6–8 target. 1:30 rest, tempo 3010 and complete note remain visible after Routine changes to 45 kg. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-authoring.recovered-placement.png	API37_FINAL	Reviewed for stated scope	Complete cue remains in the selected Lower placement after recreation. Notes and supporting tools follow prescriptions; no clipping blocks scrolling. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine-authoring.saved-in-place.png	API37_FINAL	Reviewed for stated scope	Save confirms Continue editing Lower; complete changed cue remains and Back/Save context is preserved. Helpers remain subordinate and discoverable. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.routine.active-blocked.png	API37_FINAL	Reviewed for stated scope	Light-theme neighbor preserves active-workout editing restriction, program phase/eligibility and one named Open Active Workout action. Shared wide reading measure and unused master-pane space remain outside this increment.
wide/gym.531.workout.active.png	API37_FINAL	Reviewed for stated scope	Light-theme program launch retains Main identity, Cycle 1 / 5s / Day 1 and exact 65% TM → 130 kg × 5 target. Complete programmed-cycle acceptance remains open. Shared wide reading measure and unused master-pane space remain outside this increment.
rejected-initial/gym.routine-prescription.initial.png	B6Rsmx	Rejected	Picker remains visible after dispatch. Not placement evidence; replaced by synchronized 7nvicj initial.
