image	review_date	status	observation	limits
api26/tracks.entry-delete.conflict.large.png	2026-09-09	Verified	One clear deletion-failure title and full changed-Entry explanation are readable; Keep Entry and Review Entry remain fully visible. The actions stack without clipped words; the new message starts at its heading after the previous review was scrolled.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api26/tracks.entry-delete.conflict.ordinary.png	2026-09-09	Verified	One clear deletion-failure title and full changed-Entry explanation are readable; Keep Entry and Review Entry remain fully visible.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api26/tracks.entry-delete.latest.large.png	2026-09-09	Verified	The inspector retains River trail identity, Track/date context and visible edit/close actions. The complete newer unreviewed Note is readable. The body is deliberately scrolled to the Note; the leading Date content is above the viewport, so this is not an all-content-at-once claim.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api26/tracks.entry-delete.latest.ordinary.png	2026-09-09	Verified	The inspector retains River trail identity, Track/date context and visible edit/close actions. The complete newer unreviewed Note is readable. Recorded status, Date, Name and Note have clear label/value hierarchy and fit in the frame.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api26/tracks.entry-delete.review.large.png	2026-09-09	Verified	Large title and deletion impact are legible above stacked Keep/Delete actions. The Undo explanation extends below the initial body viewport. Complete reading is verified by the separate undo.large scroll frame and the permanent interaction assertion.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api26/tracks.entry-delete.review.ordinary.png	2026-09-09	Verified	The complete deletion title, date/Track/value-count impact, Undo explanation and Keep/Delete actions fit. Spacing separates review from actions and the destructive label remains distinct.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api26/tracks.entry-delete.undo.large.png	2026-09-09	Verified	After scrolling the review, the entire Undo explanation is visible above the unchanged fixed Keep/Delete actions. The opening heading is above the viewport; this is a supplemental reading position of the same review.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance. Gray focus highlights on safe/edit actions are keyboard focus, not unexplained filled-button styling.
api34/raw/tracks.entry-delete.conflict.large.png	2026-09-09	Verified	One clear deletion-failure title and full changed-Entry explanation are readable; Keep Entry and Review Entry remain fully visible.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance.
api34/raw/tracks.entry-delete.conflict.ordinary.png	2026-09-09	Verified	One clear deletion-failure title and full changed-Entry explanation are readable; Keep Entry and Review Entry remain fully visible.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance.
api34/raw/tracks.entry-delete.latest.large.png	2026-09-09	Verified	The inspector retains River trail identity, Track/date context and visible edit/close actions. The complete newer unreviewed Note is readable. Recorded status, Date, Name and Note have clear label/value hierarchy and fit in the frame.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance.
api34/raw/tracks.entry-delete.latest.ordinary.png	2026-09-09	Verified	The inspector retains River trail identity, Track/date context and visible edit/close actions. The complete newer unreviewed Note is readable. Recorded status, Date, Name and Note have clear label/value hierarchy and fit in the frame.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance.
api34/raw/tracks.entry-delete.review.large.png	2026-09-09	Verified	The complete deletion title, date/Track/value-count impact, Undo explanation and Keep/Delete actions fit. Spacing separates review from actions and the destructive label remains distinct.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance.
api34/raw/tracks.entry-delete.review.ordinary.png	2026-09-09	Verified	The complete deletion title, date/Track/value-count impact, Undo explanation and Keep/Delete actions fit. Spacing separates review from actions and the destructive label remains distinct.	Personal review of this rendered state; persisted identity/revision requires the separate test/proof. No full accessibility or whole-Track acceptance.
