file	observation	limits
before-api26/tracks.authoring.field-number.large.png	Field Name label visibly cut at the top while Distance and fixed actions remain readable.	Native input assertion fails; see FND-20260909-020.
before-api26/date-picker-live.png	Date wheel body is cut after the selected row; secondary actions are outside the displayed body.	Live diagnostic PNG only; no paired hierarchy. Two complete journeys timed out at Set.
before-api34/tracks.authoring.field-number.ordinary.png	Focused Field Name is readable above the keyboard; title and fixed actions remain visible.	Phone-only before frame does not reproduce the short-device clipping.
before-api34/tracks.authoring.field-choice.ordinary.png	Street and Trail are readable beside reorder/remove actions.	Configuration below the viewport scrolls; no complete screen-reader review.
before-api34/tracks.authoring.field-scale.ordinary.png	0.5 increment, explanatory example and Easy/Hard labels are readable.	Upper range controls and lower toggles are partly outside the scrolled viewport.
before-api34/tracks.authoring.field-number.large.png	Focused Field Name is readable above the keyboard; title and fixed actions remain visible.	Phone-only before frame does not reproduce the short-device clipping.
before-api34/tracks.authoring.field-choice.large.png	Street and Trail are readable beside reorder/remove actions.	Configuration below the viewport scrolls; no complete screen-reader review.
before-api34/tracks.authoring.field-scale.large.png	0.5 increment, explanatory example and Easy/Hard labels are readable.	Upper range controls and lower toggles are partly outside the scrolled viewport.
api26/tracks.authoring.field-number.ordinary.png	Complete focused Field Name and Distance appear above the keyboard, with clear Cancel/Save.	Heading is scrolled out; next configuration row requires scrolling.
api26/tracks.authoring.field-number.large.png	Full enlarged floating label and Distance fit above the keyboard; card starts below the status band.	Heading scrolls away; fixed Cancel/Save and accessible pane identity remain.
api26/tracks.authoring.field-choice.ordinary.png	Terrain, type and first reordered Street option are readable.	Second option is below this frame; persisted ordering is asserted by the journey.
api26/tracks.authoring.field-choice.large.png	Street and Trail fit beside distinct reorder/remove actions.	Add Choice Option is partially below the viewport; this frame follows scrolling to Option 1.
api26/tracks.authoring.field-scale.ordinary.png	Minimum/maximum, 0.5 increment and Easy label are readable.	Hard is below the scrolled boundary; test authored it earlier.
api26/tracks.authoring.field-scale.large.png	0.5 and its half-step example fit; fixed actions remain clear.	Endpoint labels require further scrolling.
api26/tracks.authoring.definition.ordinary.png	Name, Distance and Terrain rows show readable type/required/option summaries.	Remaining four Fields are below the frame; full order is verified in storage.
api26/tracks.authoring.definition.large.png	Name and Distance have complete wrapping summaries and distinct edit/reorder actions.	The enlarged list requires scrolling for other Fields.
api26/tracks.authoring.entry-validation.ordinary.png	Both required-field errors and the first Name input are readable.	The long Track heading and generic introduction spend substantial vertical space.
api26/tracks.authoring.entry-validation.large.png	Validation summary is readable and Add remains fixed.	No input appears in this captured initial viewport; simplify the repeated introduction in the continuing design review.
api26/tracks.authoring.entry-date.ordinary.png	Complete date, three wheel rows, Today, Show Calendar, Cancel and Set are readable.	Native wheel mode is chosen automatically on this small width.
api26/tracks.authoring.entry-date.large.png	All three wheel rows are visible with distinct selected values and fixed Cancel/Set.	Selected-date summary is partly scrolled out; September is visually abbreviated with full semantic text. Broader short-dialog/status-band composition remains open.
api26/tracks.authoring.entry-types.ordinary.png	Complete multiline Notes, Visit date, Yes/No selection and Entry Date are readable.	Upper numeric/Choice/Scale values are outside this scrolled view.
api26/tracks.authoring.entry-types.large.png	Visit date and selected Yes remain readable; No wraps onto another row.	Notes are partly scrolled out; full Notes and typed values are checked in storage.
api26/tracks.authoring.entry-number.ordinary.png	Invalid 1..5, miles, corrective error, Trail and 3.5 are readable.	Remaining controls require scrolling.
api26/tracks.authoring.entry-number.large.png	Invalid number and its error remain readable with unit and Choice context.	Scale starts below the viewport; raw draft survives recreation.
api26/tracks.authoring.entry-reopened.ordinary.png	Saved identity and corrected 2.25 are readable on reopening.	Repeated identity/context takes much of the initial viewport; broader Entry hierarchy remains open.
api26/tracks.authoring.entry-reopened.large.png	Corrected 2.25, miles and Trail are readable after scrolling to Distance.	Name is partly scrolled out and horizontally scrolls as a single-line field; complete stored text is verified.
api34/tracks.authoring.field-number.ordinary.png	Complete focused Name, Number type and Distance dimension are readable above the native keyboard.	Lower unit/precision controls scroll; enlarged heading has scrolled away while pane identity remains.
api34/tracks.authoring.field-choice.ordinary.png	Street and Trail have complete labels with distinct reorder/remove actions; Add Choice Option is readable.	Upper heading and some lower toggles are outside the scrolled viewport.
api34/tracks.authoring.field-scale.ordinary.png	0.5 increment, half-step guidance and both Easy/Hard labels are readable.	Range labels and lower toggles can sit outside this scrolled view.
api34/tracks.authoring.definition.ordinary.png	Field rows show consistent readable identity/type/configuration summaries.	Ordinary view shows all seven Fields; enlarged view shows five and scrolls to the rest.
api34/tracks.authoring.entry-validation.ordinary.png	Both required-field errors and matching Name/Distance inputs are readable.	The repeated Track heading/introduction remains a hierarchy improvement opportunity.
api34/tracks.authoring.entry-types.ordinary.png	Scale value/endpoints, multiline Notes, Visit date, Yes and Entry Date are readable.	Enlarged view scrolls past upper Choice/Scale controls; complete persisted values are separately checked.
api34/tracks.authoring.entry-number.ordinary.png	Invalid 1..5, miles, corrective error, Trail and 3.5 remain clear after recreation.	Lower Notes/Date/Yes-No controls require scrolling at enlarged text.
api34/tracks.authoring.entry-reopened.ordinary.png	Corrected 2.25, miles, Trail and complete saved identity are readable on reopening.	The identity and generic context are repeated before inputs; wider Entry-design review remains open.
api34/tracks.authoring.field-number.large.png	Complete focused Name, Number type and Distance dimension are readable above the native keyboard.	Lower unit/precision controls scroll; enlarged heading has scrolled away while pane identity remains.
api34/tracks.authoring.field-choice.large.png	Street and Trail have complete labels with distinct reorder/remove actions; Add Choice Option is readable.	Upper heading and some lower toggles are outside the scrolled viewport.
api34/tracks.authoring.field-scale.large.png	0.5 increment, half-step guidance and both Easy/Hard labels are readable.	Range labels and lower toggles can sit outside this scrolled view.
api34/tracks.authoring.definition.large.png	Field rows show consistent readable identity/type/configuration summaries.	Ordinary view shows all seven Fields; enlarged view shows five and scrolls to the rest.
api34/tracks.authoring.entry-validation.large.png	Both required-field errors and matching Name/Distance inputs are readable.	The repeated Track heading/introduction remains a hierarchy improvement opportunity.
api34/tracks.authoring.entry-types.large.png	Scale value/endpoints, multiline Notes, Visit date, Yes and Entry Date are readable.	Enlarged view scrolls past upper Choice/Scale controls; complete persisted values are separately checked.
api34/tracks.authoring.entry-number.large.png	Invalid 1..5, miles, corrective error, Trail and 3.5 remain clear after recreation.	Lower Notes/Date/Yes-No controls require scrolling at enlarged text.
api34/tracks.authoring.entry-reopened.large.png	Corrected 2.25, miles, Trail and complete saved identity are readable on reopening.	The identity and generic context are repeated before inputs; wider Entry-design review remains open.
api34/tracks.authoring.entry-date.ordinary.png	Complete September calendar and selected ninth appear with clear month navigation, Jump to Date, Cancel and Set.	Ordinary phone uses the calendar; wheel-mode behavior is covered in the enlarged/native small journey.
api34/tracks.authoring.entry-date.large.png	Complete selected date, three wheel rows, Today, Show Calendar, Cancel and Set are readable.	Native 144 dp wheel and unchanged selection are verified; arbitrary user wheel gestures remain separate coverage.
api37/tracks.authoring.field-number.ordinary.png	Nested Number Field keeps Distance and its complete floating label visible above the keyboard; fixed Cancel/Save remain readable.	Scoped Field input/configuration acceptance. Full keyboard and other Field-type combinations remain outside this frame.
api37/tracks.authoring.field-number.large.png	Nested Number Field keeps Distance and its complete floating label visible above the keyboard; fixed Cancel/Save remain readable.	Scoped Field input/configuration acceptance. Full keyboard and other Field-type combinations remain outside this frame.
api37/tracks.authoring.field-choice.ordinary.png	Choice configuration remains in the bounded dialog; Street and Trail ordering and the fixed actions are readable.	Scoped Field input/configuration acceptance. Full keyboard and other Field-type combinations remain outside this frame.
api37/tracks.authoring.field-choice.large.png	Choice configuration remains in the bounded dialog; Street and Trail ordering and the fixed actions are readable.	Scoped Field input/configuration acceptance. Full keyboard and other Field-type combinations remain outside this frame.
api37/tracks.authoring.field-scale.ordinary.png	Fractional Scale configuration is legible in the bounded dialog with its fixed actions.	Scoped Field input/configuration acceptance. Full keyboard and other Field-type combinations remain outside this frame.
api37/tracks.authoring.field-scale.large.png	Fractional Scale configuration is legible in the bounded dialog with its fixed actions.	Scoped Field input/configuration acceptance. Full keyboard and other Field-type combinations remain outside this frame.
api37/tracks.authoring.definition.ordinary.png	Authored Track definition and Field controls remain legible; the wide form leaves a large span between Field identity and Edit.	Scoped rendered-state review; wide form hierarchy and label/control distances remain open.
api37/tracks.authoring.definition.large.png	Authored Track definition and Field controls remain legible; the wide form leaves a large span between Field identity and Edit.	Scoped rendered-state review; wide form hierarchy and label/control distances remain open.
api37/tracks.authoring.entry-validation.ordinary.png	Required Name/Distance errors, both inputs and Add are visible; the introductory Track identity and helper consume substantial height.	Scoped rendered-state review; wide form hierarchy and label/control distances remain open.
api37/tracks.authoring.entry-validation.large.png	Required Name/Distance errors, both inputs and Add are visible; the introductory Track identity and helper consume substantial height.	Scoped rendered-state review; wide form hierarchy and label/control distances remain open.
